Accepted Symbol,Scientific Name,Common Name
CAAQ4,Castilleja aquariensis N.H. Holmgren,Aquarius Plateau Indian paintbrush
CANA3,Castilleja nana Eastw.,dwarf alpine Indian paintbrush
CAPA46,Castilleja parvula Rydb.,Tushar Plateau Indian paintbrush
CARE10,Castilleja revealii N.H. Holmgren,Bryce Canyon Indian paintbrush
CASCB3,Castilleja scabrida Eastw. var. barnebyana (Eastw.) N.H. Holmgren,Barneby's Indian paintbrush
CACO18,Caulanthus cooperi (S. Watson) Payson,Cooper's wild cabbage
CACRG,Caulanthus crassicaulis (Torr.) S. Watson var. glaber M.E. Jones,thickstem wild cabbage
CAMA17,Caulanthus major (M.E. Jones) Payson,slender wild cabbage
CAMAM14,Caulanthus major (M.E. Jones) Payson var. major ,slender wild cabbage
CAPI4,Caulanthus pilosus S. Watson,hairy wild cabbage
CEGRF,Ceanothus greggii A. Gray var. franklinii S.L. Welsh,desert ceanothus
CEGRV,Ceanothus greggii A. Gray var. vestitus (Greene) McMinn,Mojave ceanothus
CELAB,Celtis laevigata Willd. var. brevipes (S. Watson) Sarg.,sugarberry
CERU2,Centranthus ruber (L.) DC.,red valerian
CETH3,Centrostegia thurberi A. Gray ex Benth.,red triangles
CEOR9,Cercis orbiculata Greene,California redbud
CHCA,Chaenactis carphoclinia A. Gray,pebble pincushion
CHCAC,Chaenactis carphoclinia A. Gray var. carphoclinia ,pebble pincushion
CHFR,Chaenactis fremontii A. Gray,pincushion flower
CHMA,Chaenactis macrantha D.C. Eaton,bighead dustymaiden
CHMI2,Chamaebatiaria millefolium (Torr.) Maxim.,desert sweet
CHOC,Chamaesyce ocellata (Durand & Hilg.) Millsp.,Contura Creek sandmat
CHOCA,Chamaesyce ocellata (Durand & Hilg.) Millsp. ssp. arenicola (Parish) Thorne,Contura Creek sandmat
CHCO4,Cheilanthes covillei Maxon,Coville's lipfern
CHPA4,Cheilanthes parryi (D.C. Eaton) Domin,Parry's lipfern
CHINO,Chenopodium incanum (S. Watson) A. Heller var. occidentale Crawford,mealy goosefoot
CHHA,Chlorocrambe hastata (S. Watson) Rydb.,spearhead
CHBR,Chorizanthe brevicornu Torr.,brittle spineflower
CHBRB,Chorizanthe brevicornu Torr. var. brevicornu ,brittle spineflower
CHRI,Chorizanthe rigida (Torr.) Torr. & A. Gray,devil's spineflower
CHWA2,Chorizanthe watsonii Torr. & A. Gray,fivetooth spineflower
CHAL9,Chrysothamnus albidus (M.E. Jones ex A. Gray) Greene,whiteflower rabbitbrush
CIAR3,Cirsium arizonicum (A. Gray) Petr.,Arizona thistle
CIMU2,Cirsium murdockii (S.L. Welsh) Cronquist,Murdock's thistle
CIRO,Cirsium rothrockii (A. Gray) Petr.,Rothrock's thistle
CIRY,Cirsium rydbergii Petr.,Rydberg's thistle
CIVI6,Cirsium virginense S.L. Welsh,virgin thistle
CIMO4,Cistanthe monandra (Nutt.) Hershkovitz,common pussypaws
CIPA7,Cistanthe parryi (A. Gray) Hershkovitz,Parry's pussypaws
CIPAN,Cistanthe parryi (A. Gray) Hershkovitz var. nevadensis (J.T. Howell) Kartesz & Gandhi,Nevada pussypaws
CLCA2,Cladium californicum (S. Watson) O'Neill,California sawgrass
CLPAU2,Claytonia parviflora Douglas ex Hook. ssp. utahensis (Rydb.) John M. Mill. & K.L. Chambers,streambank springbeauty
CLPL2,Cleomella plocasperma S. Watson,twisted cleomella
COGR2,Collinsia grandiflora Lindl.,giant blue eyed Mary
COKI,Cordylanthus kingii S. Watson,King's bird's-beak
COKID,Cordylanthus kingii S. Watson ssp. densiflorus T.I. Chuang & Heckard,King's bird's-beak
COKIK,Cordylanthus kingii S. Watson ssp. kingii ,King's bird's-beak
COMA5,Cordylanthus maritimus Nutt. ex Benth.,saltmarsh bird's-beak
COMAC,Cordylanthus maritimus Nutt. ex Benth. ssp. canescens (A. Gray) T.I. Chuang & Heckard,saltmarsh bird's-beak
COPA9,Cordylanthus parviflorus (Ferris) Wiggins,purple bird's-beak
COCAB,Corydalis caseana A. Gray ssp. brachycarpa (Rydb.) G.B. Ownbey,Sierra fumewort
CRFL7,Crocus flavus Weston,yellow crocus
CRVE4,Crocus vernus (L.) Hill,dutch crocus
CRCA5,Croton californicus Müll. Arg.,California croton
CRCAC,Croton californicus Müll. Arg. var. californicus ,California croton
CRSE11,Croton setigerus Hook.,dove weed
CRTEU,Croton texensis (Klotzsch) Müll. Arg. var. utahensis Cronquist,Utah croton
CRAB2,Cryptantha abata I.M. Johnst.,dentnut cryptantha
CRBA6,Cryptantha barnebyi I.M. Johnst.,oilshale cryptantha
CRCA13,Cryptantha capitata (Eastw.) I.M. Johnst.,capitate cryptantha
CRCIA,Cryptantha cinerea (Greene) Cronquist var. abortiva ,James' cryptantha
CRCIA2,Cryptantha cinerea (Greene) Cronquist var. arenicola Higgins & S.L. Welsh,James' cryptantha
CRCO17,Cryptantha compacta Higgins,compact cryptantha
CRCO12,Cryptantha confertiflora (Greene) Payson,basin yellow cryptantha
CRCR8,Cryptantha creutzfeldtii S.L. Welsh,Creutzfeldt's cryptantha
CRDE,Cryptantha decipiens (M.E. Jones) A. Heller,gravelbar cryptantha
CRDU,Cryptantha dumetorum (Greene ex A. Gray) Greene,bushloving cryptantha
CRFL4,Cryptantha flaccida (Douglas ex Lehm.) Greene,weakstem cryptantha
CRFUF,Cryptantha fulvocanescens (S. Watson) Payson var. fulvocanescens ,tawny cryptantha
CRGR4,Cryptantha grahamii I.M. Johnst.,fragrant cryptantha
CRHO3,Cryptantha holoptera (A. Gray) J.F. Macbr.,winged cryptantha
CRIN9,Cryptantha interrupta (Greene) Payson,Elko cryptantha
CRJO,Cryptantha johnstonii Higgins,Johnston's cryptantha
CRJO2,Cryptantha jonesiana (Payson) Payson,San Rafael cryptantha
CRNE2,Cryptantha nevadensis A. Nelson & Kennedy,Nevada cryptantha
CRNEN,Cryptantha nevadensis A. Nelson & Kennedy var. nevadensis ,Nevada cryptantha
CROC2,Cryptantha ochroleuca Higgins,yellowwhite cryptantha
CRRA2,Cryptantha racemosa (S. Watson) Greene,bushy cryptantha
CRRU4,Cryptantha rugulosa (Payson) Payson,wrinkled cryptantha
CRSE4,Cryptantha semiglabra Barneby,smooth cryptantha
CRSE5,Cryptantha setosissima (A. Gray) Payson,bristly cryptantha
CRTE8,Cryptantha tenuis (Eastw.) Payson,canyon cryptantha
CRUT,Cryptantha utahensis (A. Gray) Greene,scented cryptantha
CRVI5,Cryptantha virginensis (M.E. Jones) Payson,Virgin River cryptantha
CRWE3,Cryptantha wetherillii (Eastw.) Payson,Wetherill's cryptantha
CUPA,Cucurbita palmata S. Watson,coyote gourd
CUCAC,Cuscuta californica Hook. & Arn. var. californica ,chaparral dodder
CUSA,Cuscuta salina Engelm.,saltmarsh dodder
CUSAP,Cuscuta salina Engelm. var. papillata Yunck.,goldenthread
CUSAS,Cuscuta salina Engelm. var. salina ,saltmarsh dodder
CUWA2,Cuscuta warneri Yunck.,Warner's dodder
CUDO3,Cusickiella douglasii (A. Gray) Rollins,alkali cusickiella
CYHU,Cycladenia humilis Benth.,Sacramento waxydogbane
CYHUJ,Cycladenia humilis Benth. var. jonesii (Eastw.) S.L. Welsh & N.D. Atwood,Jones' waxydogbane
CYMU11,Cylindropuntia ×multigeniculata (Clokey) Backeb. (pro sp.) [echinocarpa × whipplei],Blue Diamond cholla
CYAC8,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,buck-horn cholla
CYACA2,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth var. acanthocarpa ,buckhorn cholla
CYACC2,Cylindropuntia acanthocarpa (Engelm. & J.M. Bigelow) F.M. Knuth var. coloradensis (L.D. Benson) Pinkava,Colorado buckhorn cholla
CYEC3,Cylindropuntia echinocarpa (Engelm. & J.M. Bigelow) F.M. Knuth,Wiggins' cholla
CYACG,Cymopterus acaulis (Pursh) Raf. var. greeleyorum J. Grimes & Packard,Greeley springparsley
CYACH,Cymopterus acaulis (Pursh) Raf. var. higginsii (S.L. Welsh) Goodrich,Higgins' springparsley
CYACP,Cymopterus acaulis (Pursh) Raf. var. parvus Goodrich,plains springparsley
CYBA3,Cymopterus basalticus M.E. Jones,basalt springparsley
CYBE2,Cymopterus beckii S.L. Welsh & Goodrich,featherleaf springparsley
CYCO5,Cymopterus coulteri (M.E. Jones) Mathias,twoleaf springparsley
CYGL2,Cymopterus globosus (S. Watson) S. Watson,globe springparsley
CYIB,Cymopterus ibapensis M.E. Jones,Ibapah springparsley
CYJO,Cymopterus jonesii J.M. Coult. & Rose,Jones' springparsley
CYMI2,Cymopterus minimus (Mathias) Mathias,Cedar Breaks springparsley
CYNE,Cymopterus newberryi (S. Watson) M.E. Jones,sweetroot springparsley
CYRO3,Cymopterus rosei (M.E. Jones ex J.M. Coult. & Rose) M.E. Jones,Rose's springparsley
CYUT,Cynanchum utahense (Engelm.) Woodson,Utah swallow-wort
DAFL,Dalea flavescens (S. Watson) S.L. Welsh,Canyonlands prairie clover
DASE3,Dalea searlsiae (A. Gray) Barneby,Searls' prairie clover
DAPE,Darmera peltata (Torr. ex Benth.) Voss,Indian rhubarb
DEPA,Delphinium parishii A. Gray,desert larkspur
DEPAP3,Delphinium parishii A. Gray ssp. parishii ,Parish's larkspur
DEPIG,Descurainia pinnata (Walter) Britton ssp. glabra (Wooton & Standl.) Detling,western tansymustard
DICA14,Dichelostemma capitatum (Benth.) Alph. Wood,bluedicks
DICAC5,Dichelostemma capitatum (Benth.) Alph. Wood ssp. capitatum ,bluedicks
DICAP,Dichelostemma capitatum (Benth.) Alph. Wood ssp. pauciflorum (Torr.) G. Keator,bluedicks
DICAC2,Dicoria canescens A. Gray ssp. canescens ,desert twinbugs
DICAC,Dicoria canescens A. Gray ssp. clarkiae (Kennedy) D.D. Keck,desert twinbugs
DOAL,Dodecatheon alpinum (A. Gray) Greene,alpine shootingstar
DOALA,Dodecatheon alpinum (A. Gray) Greene ssp. alpinum ,alpine shootingstar
DOALM,Dodecatheon alpinum (A. Gray) Greene ssp. majus H.J. Thomp.,alpine shootingstar
DODE,Dodecatheon dentatum Hook.,white shootingstar
DODEU,Dodecatheon dentatum Hook. ssp. utahense (N.H. Holmgren) Kartesz,white shootingstar
DOPUM3,Dodecatheon pulchellum (Raf.) Merr. ssp. monanthum (Greene ex R. Knuth) H.J. Thomp. ex Munz,darkthroat shootingstar
DORE,Dodecatheon redolens (H.M. Hall) H.J. Thomp.,scented shootingstar
DRAS,Draba asprella Greene,rough draba
DRASZ,Draba asprella Greene var. zionensis (C.L. Hitchc.) S.L. Welsh & Reveal,Zion draba
DRBR4,Draba brachystylis Rydb.,shortstyle draba
DRBU2,Draba burkei (C.L. Hitchc.) Windham & Beilstein,snowbasin draba
DRKA3,Draba kassii S.L. Welsh,Kass' draba
DRMA2,Draba maguirei C.L. Hitchc.,Maguire's draba
DRMAM,Draba maguirei C.L. Hitchc. var. maguirei ,Maguire's draba
DRRA2,Draba ramulosa Rollins,Tushar Mountain draba
DRSO,Draba sobolifera Rydb.,stolon draba
DRSU,Draba subalpina Goodman & C.L. Hitchc.,subalpine draba
DUPU,Dudleya pulverulenta (Nutt.) Britton & Rose,chalk dudleya
DUPUA2,Dudleya pulverulenta (Nutt.) Britton & Rose ssp. arizonica (Rose) Moran,chalk dudleya
ECPO2,Echinocactus polycephalus Engelm. & J.M. Bigelow,cottontop cactus
ECPOP,Echinocactus polycephalus Engelm. & J.M. Bigelow var. polycephalus ,cottontop cactus
ECPOX,Echinocactus polycephalus Engelm. & J.M. Bigelow var. xeranthemoides J.M. Coult.,cottontop cactus
ECEN,Echinocereus engelmannii (Parry ex Engelm.) Lem.,Engelmann's hedgehog cactus
ECENC,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. chrysocentrus (Engelm. & J.M. Bigelow) Rümpler,Engelmann's hedgehog cactus
ECENP,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. purpureus L.D. Benson,Engelmann's hedgehog cactus
ECENV,Echinocereus engelmannii (Parry ex Engelm.) Lem. var. variegatus (Engelm. & J.M. Bigelow) Rümpler,Engelmann's hedgehog cactus
ECMO,Echinocereus mojavensis (Engelm. & J.M. Bigelow) Rümpler,Mojave kingcup cactus
ECJO3,Echinomastus johnsonii (Parry ex Engelm.) E.M. Baxter,Johnson's fishhook cactus
EMPE,Emmenanthe penduliflora Benth.,whisperingbells
EMPEP,Emmenanthe penduliflora Benth. var. penduliflora ,whisperingbells
ENFA,Encelia farinosa A. Gray ex Torr.,brittlebush
ENRE,Encelia resinifera C. Clark,sticky brittlebush
ENRER,Encelia resinifera C. Clark ssp. resinifera ,button brittlebush
ENVI,Encelia virginensis A. Nelson,Virgin River brittlebush
ENAR,Enceliopsis argophylla (D.C. Eaton) A. Nelson,silverleaf sunray
EPNE,Ephedra nevadensis S. Watson,Nevada jointfir
EPNE2,Epilobium nevadense Munz,Nevada willowherb
EREX3,Eremalche exilis (A. Gray) Greene,white mallow
ERAL,Eremocrinum albomarginatum (M.E. Jones) M.E. Jones,lonely lily
ERER2,Eriastrum eremicum (Jeps.) H. Mason,desert woollystar
ERERE,Eriastrum eremicum (Jeps.) H. Mason ssp. eremicum ,desert woollystar
ERSP3,Eriastrum sparsiflorum (Eastw.) H. Mason,Great Basin woollystar
ERSPS2,Eriastrum sparsiflorum (Eastw.) H. Mason ssp. sparsiflorum ,Great Basin woollystar
ERUI2,Ericameria ×uintahensis (L.C. Anderson) G.L. Nesom & Baird [nauseosa × parryi],goldenbush
ERCE3,Ericameria cervina (S. Watson) Rydb.,deer goldenbush
ERCR7,Ericameria crispa (L.C. Anderson) G.L. Nesom,crisped goldenbush
ERLI8,Ericameria lignumviridis (S.L. Welsh) G.L. Nesom,Greenwood's goldenbush
ERLI6,Ericameria linearifolia (DC.) Urbatsch & Wussow,narrowleaf goldenbush
ERNAA3,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. arenaria (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush
ERNAM,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. mohavensis ,rubber rabbitbrush
ERNAN2,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. consimilis (Greene) G.L. Nesom & Baird var. nitida (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush
ERNAG2,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. glareosa (M.E. Jones) G.L. Nesom & Baird,rubber rabbitbrush
ERNAI,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. iridis (L.C. Anderson) G.L. Nesom & Baird,rubber rabbitbrush
ERNAP,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. psilocarpa (S.F. Blake) G.L. Nesom & Baird,rubber rabbitbrush
ERNAS,Ericameria nauseosa (Pall. ex Pursh) G.L. Nesom & Baird ssp. nauseosa var. salicifolia (Rydb.) G.L. Nesom & Baird,rubber rabbitbrush
EROB3,Ericameria obovata (Rydb.) G.L. Nesom,Rydberg's goldenbush
ERPA29,Ericameria paniculata (A. Gray) Rydb.,Mojave rabbitbrush
ERPAN2,Ericameria parryi (A. Gray) G.L. Nesom & Baird var. nevadensis ,Parry's rabbitbrush
ERWA8,Ericameria watsonii (A. Gray) G.L. Nesom,Watson's goldenbush
ERZI2,Ericameria zionis (L.C. Anderson) G.L. Nesom,subalpine goldenbush
ERAB3,Erigeron abajoensis Cronquist,Abajo fleabane
ERAPC,Erigeron aphanactis (A. Gray) Greene var. congestus (Greene) Cronquist,rayless shaggy fleabane
ERAR20,Erigeron arenarioides (D.C. Eaton ex A. Gray) A. Gray ex Rydb.,sand fleabane
ERAW,Erigeron awapensis S.L. Welsh,Awapa fleabane
ERBL,Erigeron bloomeri A. Gray,scabland fleabane
ERBLB,Erigeron bloomeri A. Gray var. bloomeri ,scabland fleabane
ERCO3,Erigeron compactus S.F. Blake,cushion daisy
ERCR,Erigeron cronquistii Maguire,Cronquist's fleabane
ERGA3,Erigeron garrettii A. Nelson,Garrett's fleabane
ERGO3,Erigeron goodrichii S.L. Welsh,Uinta Mountain fleabane
ERHU6,Erigeron huberi S.L. Welsh & N.D. Atwood,Huber's fleabane
ERJO2,Erigeron jonesii Cronquist,Jones' fleabane
ERMA8,Erigeron maguirei Cronquist,Maguire's fleabane
ERMA9,Erigeron mancus Rydb.,depauperate fleabane
ERNA6,Erigeron nauseosus (M.E. Jones) A. Nelson,Marysvale fleabane
ERPR11,Erigeron proselyticus G.L. Nesom,professor's fleabane
ERRE7,Erigeron religiosus Cronquist,Clear Creek fleabane
ERSI6,Erigeron sionis Cronquist,Zion fleabane
ERUN5,Erigeron untermannii S.L. Welsh & Goodrich,Indian Canyon fleabane
ERWA5,Erigeron watsonii (A. Gray) Cronquist,Watson's fleabane
ERZO,Erigeron zothecinus S.L. Welsh,Lake Powell fleabane
ERAN2,Eriodictyon angustifolium Nutt.,narrowleaf yerba santa
ERDU2,Eriogonum ×duchesnense Reveal (pro sp.) [brevicaule × corymbosum],buckwheat
ERAM6,Eriogonum ammophilum Reveal,ibex buckwheat
ERAR8,Eriogonum aretioides Barneby,Red Canyon buckwheat
ERBA7,Eriogonum baileyi S. Watson,Bailey's buckwheat
ERBAB,Eriogonum baileyi S. Watson var. baileyi ,Bailey's buckwheat
ERBR8,Eriogonum brachypodum Torr. & A. Gray,Parry's buckwheat
ERBRC,Eriogonum brevicaule Nutt. var. cottamii (S. Stokes) Reveal,Cottam's buckwheat
ERBRL,Eriogonum brevicaule Nutt. var. laxifolium (Torr. & A. Gray) Reveal,shortstem buckwheat
ERCEV,Eriogonum cernuum Nutt. var. viminale (S. Stokes) Reveal,nodding buckwheat
ERCOA,Eriogonum corymbosum Benth. var. aureum (M.E. Jones) Reveal,crispleaf buckwheat
ERCOG2,Eriogonum corymbosum Benth. var. glutinosum (M.E. Jones) M.E. Jones,crispleaf buckwheat
ERCON,Eriogonum corymbosum Benth. var. nilesii Reveal,Las Vegas wild buckwheat
ERCR5,Eriogonum cronquistii Reveal,Bull Mountain buckwheat
ERDA,Eriogonum darrovii Kearney,Darrow's buckwheat
ERDA4,Eriogonum davidsonii Greene,Davidson's buckwheat
ERDE6,Eriogonum deflexum Torr.,flatcrown buckwheat
ERDED4,Eriogonum deflexum Torr. var. deflexum ,flatcrown buckwheat
ERDEN,Eriogonum deflexum Torr. var. nevadense Reveal,Nevada buckwheat
ERDE11,Eriogonum desertorum (Maguire) R.J. Davis,Great Basin Desert buckwheat
ERER5,Eriogonum eremicum Reveal,limestone buckwheat
ERES,Eriogonum esmeraldense S. Watson,Esmeralda buckwheat
ERESE,Eriogonum esmeraldense S. Watson var. esmeraldense ,Esmeralda buckwheat
ERFA2,Eriogonum fasciculatum Benth.,Eastern Mojave buckwheat
ERFAP,Eriogonum fasciculatum Benth. var. polifolium (Benth.) Torr. & A. Gray,Eastern Mojave buckwheat
ERHE,Eriogonum heermannii Durand & Hilg.,Heermann's buckwheat
ERHES5,Eriogonum heermannii Durand & Hilg. var. subspinosum Reveal,Heermann's buckwheat
ERHES2,Eriogonum heermannii Durand & Hilg. var. sulcatum (S. Watson) Munz & Reveal,Heermann's buckwheat
ERHO12,Eriogonum howellianum Reveal,Howell's buckwheat
ERHY3,Eriogonum hylophilum Reveal & Brotherson,Gate Canyon buckwheat
ERIN10,Eriogonum insigne S. Watson,ladder buckwheat
ERJAR,Eriogonum jamesii Benth. var. rupicola Reveal,James' buckwheat
ERLA10,Eriogonum lancifolium Reveal & Brotherson,lanceleaf buckwheat
ERLEP,Eriogonum leptocladon Torr. & A. Gray var. papiliunculi Reveal,sand buckwheat
ERLO3,Eriogonum loganum A. Nelson,Cache Valley buckwheat
ERMA2,Eriogonum maculatum A. Heller,spotted buckwheat
ERMIL,Eriogonum microthecum Nutt. var. lapidicola Reveal,slender buckwheat
ERNA4,Eriogonum natum Reveal,Son's buckwheat
ERNI4,Eriogonum nidularium Coville,birdnest buckwheat
ERNU4,Eriogonum nummulare M.E. Jones,money buckwheat
ERNU5,Eriogonum nutans Torr. & A. Gray,Dugway buckwheat
ERNUN2,Eriogonum nutans Torr. & A. Gray var. nutans ,Dugway buckwheat
EROS,Eriogonum ostlundii M.E. Jones,Elsinore buckwheat
EROVN,Eriogonum ovalifolium Nutt. var. nivale (Canby) M.E. Jones,cushion buckwheat
ERPA13,Eriogonum panguicense (M.E. Jones) Reveal,Panguitch buckwheat
ERPAA,Eriogonum panguicense (M.E. Jones) Reveal var. alpestre (S. Stokes) Reveal,Panguitch buckwheat
ERPAP5,Eriogonum panguicense (M.E. Jones) Reveal var. panguicense ,Panguitch buckwheat
ERPH2,Eriogonum pharnaceoides Torr.,wirestem buckwheat
ERPHC,Eriogonum pharnaceoides Torr. var. cervinum Reveal,wirestem buckwheat
ERPU6,Eriogonum pusillum Torr. & A. Gray,yellowturbans
ERSM,Eriogonum smithii Reveal,flat-top buckwheat
ERSO2,Eriogonum soredium Reveal,Frisco buckwheat
ERSP5,Eriogonum spathulatum A. Gray,spoonleaf buckwheat
ERSU5,Eriogonum subreniforme S. Watson,kidneyshape buckwheat
ERTH,Eriogonum thomasii Torr.,Thomas' buckwheat
ERTH2,Eriogonum thompsoniae S. Watson,Thompson's buckwheat
ERTHA,Eriogonum thompsoniae S. Watson var. albiflorum Reveal,Thompson's buckwheat
ERTHM,Eriogonum thompsoniae S. Watson var. matthewsiae (Reveal) Reveal,Matthews' buckwheat
ERTHT,Eriogonum thompsoniae S. Watson var. thompsoniae ,Thompson's buckwheat
ERTR8,Eriogonum trichopes Torr.,little deserttrumpet
ERTRT3,Eriogonum trichopes Torr. var. trichopes ,little deserttrumpet
ERUMD,Eriogonum umbellatum Torr. var. deserticum Reveal,sulphur-flower buckwheat
ERUMJ,Eriogonum umbellatum Torr. var. juniporinum Reveal,juniper buckwheat
ERUMN,Eriogonum umbellatum Torr. var. nevadense Gandog.,sulphur-flower buckwheat
ERVI4,Eriogonum villiflorum A. Gray,gray buckwheat
ERZI,Eriogonum zionis J.T. Howell,Zion buckwheat
ERZIZ,Eriogonum zionis J.T. Howell var. zionis ,Zion buckwheat
ESGL,Eschscholzia glyptosperma Greene,desert poppy
ESMI,Eschscholzia minutiflora S. Watson,pygmy poppy
ESMIM3,Eschscholzia minutiflora S. Watson ssp. minutiflora ,pygmy poppy
ESVID,Escobaria vivipara (Nutt.) Buxbaum var. deserti (Engelm.) D.R. Hunt,desert spinystar
EUUR,Eucnide urens (Parry ex A. Gray) Parry,desert stingbush
EUPA4,Euphorbia palmeri Engelm. ex S. Watson,woodland spurge
EUPAP,Euphorbia palmeri Engelm. ex S. Watson var. palmeri ,woodland spurge
EUGLP,Eurybia glauca (Nutt.) G.L. Nesom var. pulchra (S.F. Blake) Brouillet,beautiful aster
EUWA4,Eurybia wasatchensis (M.E. Jones) G.L. Nesom,Wasatch aster
FALA,Fagonia laevis Standl.,California fagonbush
FECY,Ferocactus cylindraceus (Engelm.) Orcutt,California barrel cactus
FECYL,Ferocactus cylindraceus (Engelm.) Orcutt var. lecontei (Engelm.) H. Bravo,Leconte's barrel cactus
FITH,Fimbristylis thermalis S. Watson,hot springs fimbry
FRPU4,Frankenia pulverulenta L.,European seaheath
FRGY,Frasera gypsicola (Barneby) D.M. Post,Sunnyside frasera
FRDI2,Fraxinus dipetala Hook. & Arn.,California ash
GAAR2,Gaillardia arizonica A. Gray,Arizona blanketflower
GAFL,Gaillardia flava Rydb.,yellow blanketflower
GAPA,Gaillardia parryi Greene,Parry's blanketflower
GADE3,Galium desereticum Dempster & Ehrend.,desert bedstraw
GAEM,Galium emeryense Dempster & Ehrend.,Emery County bedstraw
GAEME,Galium emeryense Dempster & Ehrend. ssp. emeryense ,Emery County bedstraw
GAEMP,Galium emeryense Dempster & Ehrend. ssp. protoscabriusculum (Dempster & Ehrend.) Dempster & Ehrend.,Emery County bedstraw
GAHY,Galium hypotrichium A. Gray,alpine bedstraw
GAHYN,Galium hypotrichium A. Gray ssp. nevadense Dempster & Ehrend.,Nevada bedstraw
GAMA3,Galium magnifolium (Dempster) Dempster,largeleaf bedstraw
GAMU3,Galium munzii Hilend & J.T. Howell,Munz's bedstraw
GAMUA,Galium munzii Hilend & J.T. Howell ssp. ambivalens Dempster & Ehrend.,Munz's bedstraw
GAMUM3,Galium munzii Hilend & J.T. Howell ssp. munzii ,Munz's bedstraw
GAST,Galium stellatum Kellogg,starry bedstraw
GASTE2,Galium stellatum Kellogg ssp. eremicum (Hilend & J.T. Howell) Ehrend.,starry bedstraw
GAWA,Galium watsonii (A. Gray) A. Heller,Watson's bedstraw
GAFL2,Garrya flavescens S. Watson,ashy silktassel
GECA2,Geraea canescens Torr. & A. Gray,hairy desertsunflower
GISC,Gilia scopulorum M.E. Jones,rock gilia
GIST,Gilia stellata A. Heller,star gilia
GITR,Gilia transmontana (H. Mason & A.D. Grant) A.D. Grant & V.E. Grant,transmontane gilia
GLSU,Glaucocarpum suffrutescens (Rollins) Rollins,Uinta Basin waxfruit
GLSPM2,Glossopetalon spinescens A. Gray var. microphyllum N.H. Holmgren,spiny greasebush
GLGL,Glycyrrhiza glabra L.,cultivated licorice
GLMA2,Glyptopleura marginata D.C. Eaton,carveseed
GLSE4,Glyptopleura setulosa A. Gray,holy dandelion
GRLA,Grindelia laciniata Rydb.,cutleaf gumweed
GRPU3,Grusonia pulchella (Engelm.) H. Rob.,sagebrush cholla
GULA4,Guillenia lasiophylla (Hook. & Arn.) Greene,California mustard
GUPE2,Gutierrezia petradoria (S.L. Welsh & Goodrich) S.L. Welsh,San Pedro snakeweed
HAIB,Hackelia ibapensis L.M. Shultz & J.S. Shultz,Ibapah tickweed
HAPAH,Hackelia patens (Nutt.) I.M. Johnst. var. harrisonii J.L. Gentry,Harrison's stickseed
HAMA9,Hakonechloa macra (Munro) Makino,Hakone grass
HEBOG2,Hedysarum boreale Nutt. ssp. boreale var. gremiale (Rollins) Northstrom & S.L. Welsh,Utah sweetvetch
HEAN4,Helianthus anomalus S.F. Blake,western sunflower
HEHI6,Heliomeris hispida (A. Gray) Cockerell,rough false goldeneye
HEMUB,Heliomeris multiflora Nutt. var. brevifolia (Greene ex Wooton & Standl.) Yates,showy goldeneye
HESO2,Heliomeris soliceps (Barneby) Yates,tropical false goldeneye
HESC15,Hesperodoria scopulorum (M.E. Jones) Greene,Grand Canyon glowweed
HEGR7,Heterotheca grandiflora Nutt.,telegraphweed
HEJO,Heterotheca jonesii (S.F. Blake) S.L. Welsh & N.D. Atwood,Jones' false goldenaster
HEPAA,"Heuchera parvifolia Nutt. ex Torr. & A. Gray var. arizonica Rosend., Butters & Lakela",Arizona alumroot
HUHE,Hulsea heterochroma A. Gray,redray alpinegold
HYCAA,Hydrophyllum capitatum Douglas ex Benth. var. alpinum S. Watson,alpine waterleaf
HYOC,Hydrophyllum occidentale (S. Watson) A. Gray,western waterleaf
HYSA,Hymenoclea salsola Torr. & A. Gray,burrobrush
HYSAF,Hymenoclea salsola Torr. & A. Gray var. fasciculata (A. Nelson) K.M. Peterson & Payne,burrobrush
HYSA2,Hymenoclea sandersonii (S.L. Welsh) N.H. Holmgren,Sanderson's burrobrush
HYFIE,Hymenopappus filifolius Hook. var. eriopodus (A. Nelson) B.L. Turner,fineleaf hymenopappus
HYFIN,Hymenopappus filifolius Hook. var. nanus (Rydb.) B.L. Turner,fineleaf hymenopappus
HYFIT,Hymenopappus filifolius Hook. var. tomentosus (Rydb.) B.L. Turner,finehair hymenopappus
